dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2009-01-01	A0001	2380	0	93	N	0	0	652995,19	6867125,65	0	2	93	N	400	2380	652883,07	6869500,3	0	2009	Permanent horaire	190500	
2009-01-01	A0001	1707	2	93	N	400	2380	652883,07	6869500,3	0	4	93	N	100	4087	654063,36	6870442,16	0	2009	Permanent horaire	139000	
2009-01-01	A0001	800	4	93	N	100	4087	654063,36	6870442,16	0	4	93	N	900	4887	654842,8	6870604,27	0	2009	Permanent horaire	57898	18,9
2009-01-01	A0001	2018	4	93	N	900	4887	654842,8	6870604,27	0	6	93	N	900	6905	656808,84	6870972,21	0	2009	Permanent horaire	117800	
2009-01-01	A0001	1802	6	93	N	900	6905	656808,84	6870972,21	0	8	93	N	700	8707	658506,22	6871575,23	0	2009	Permanent horaire	179200	
2009-01-01	A0001	2605	8	93	N	700	8707	658506,22	6871575,23	0	11	93	N	300	11312	660571,29	6873150,91	0	2009	Permanent horaire	163700	
2009-01-01	A0001	1291	11	93	N	300	11312	660571,29	6873150,91	0	12	93	N	600	12603	661519,9	6874017,29	0	2009	Permanent horaire	134000	
2009-01-01	A0001	802	12	93	N	600	12603	661519,9	6874017,29	0	13	93	N	401	13405	662088,7	6874575,07	0	2009	Permanent horaire	92300	
2009-01-01	A0001	580	0	95	N	0	13405	662088,7	6874575,07	0	0	95	N	580	13985	662456,67	6874951,68	0	2009	Temporaire journalier		
2009-01-01	A0001	4880	14	95	N	0	13985	662456,67	6874951,68	0	18	95	N	870	18865	665400,99	6878765,5	0	2009	Permanent horaire	95100	
2009-01-01	A0001	1629	18	95	N	870	18865	665400,99	6878765,5	0	20	95	C	499	20494	665991,96	6880459,95	0	2009	Permanent horaire	96283	16,1
2009-01-01	A0001	242	20	95	C	499	20494	665991,96	6880459,95	0	20	95	C	741	20736	666071,17	6880688,53	0	2009	Permanent horaire	96283	16,1
2009-01-01	A0001	7132	20	95	C	741	20736	666071,17	6880688,53	0	27	95	C	873	27868	667199,52	6887473,55	0	2009	Permanent horaire	96283	16,1
2009-01-01	A0001	2777	27	95	C	873	27868	667199,52	6887473,55	0	30	95	C	650	30645	667337,6	6890248,25	0	2009	Permanent horaire	83930	17,3
2009-01-01	A0001	1610	30	95	C	650	30645	667337,6	6890248,25	0	32	60	C	260	32255	667677,01	6891815,59	0	2009	Permanent horaire	83930	17,3
2009-01-01	A0001	10166	32	60	C	260	32255	667677,01	6891815,59	0	42	60	C	426	42421	671636,05	6900731,88	0	2009	Permanent horaire	82464	17,6
2009-01-01	A0001	1694	42	60	C	426	42421	671636,05	6900731,88	0	44	60	C	120	44115	672841,23	6901899,14	0	2009	Permanent horaire	65409	21,4
2009-01-01	A0001	13620	44	60	C	120	44115	672841,23	6901899,14	0	57	60	C	740	57735	677246,32	6913465,07	0	2009	Permanent horaire		
2009-01-01	A0001	8733	57	60	C	740	57735	677246,32	6913465,07	0	66	60	C	473	66468	678026,28	6921985,37	0	2009	Permanent horaire	57683	22,6
2009-01-01	A0001	14075	66	60	C	473	66468	678026,28	6921985,37	0	80	60	C	548	80543	679793	6935816,03	0	2009	Permanent horaire	54689	23,3
2009-01-01	A0001	11468	80	60	C	548	80543	679793	6935816,03	0	92	60	C	16	92011	682312,81	6946952,45	0	2009	Permanent horaire	54722	23,2
2009-01-01	A0001	9286	92	60	C	16	92011	682312,81	6946952,45	0	101	80	C	302	101297	683511,87	6956114,01	0	2009	Permanent horaire	54722	23,2
2009-01-01	A0001	17216	101	80	C	302	101297	683511,87	6956114,01	0	118	80	C	518	118513	687937,41	6972653,55	0	2009	Permanent horaire	52164	23,6
2009-01-01	A0001	2964	118	80	C	518	118513	687937,41	6972653,55	0	121	80	C	482	121477	688251,85	6975604,57	0	2009	Permanent horaire	61317	22,9
2009-01-01	A0001	10318	121	80	C	482	121477	688251,85	6975604,57	0	131	80	C	800	131795	690043,34	6985661,35	0	2009	Permanent horaire	61318	23,6
2009-01-01	A0001	4966	131	80	C	800	131795	690043,34	6985661,35	0	136	80	C	766	136761	691279,68	6990440,17	0	2009	Permanent horaire	61882	23,4
2009-01-01	A0001	2220	136	80	C	766	136761	691279,68	6990440,17	0	138	80	C	986	138981	691698,05	6992544,91	0	2009	Permanent horaire	40720	24,8
2009-01-01	A0001	7891	138	80	C	986	138981	691698,05	6992544,91	0	146	62	C	877	146872	690812,47	7000322,29	0	2009	Permanent horaire	40720	24,8
2009-01-01	A0001	19107	146	62	C	877	146872	690812,47	7000322,29	0	165	62	C	984	165979	690639,11	7019119,99	0	2009	Permanent horaire	42094	24,5
