dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0001	2440	0	93	N	0	0	653006,6	6867037,55	0	2	93	N	460	2440	652896,51	6869469,21	0	2018	1	180631	
2018-01-01	A0001	785,2	2	93	N	460	2440	652896,51	6869469,21	0	3	93	N	248,2	3225,2	653176,46	6870095,57	0	2018	1	180631	
2018-01-01	A0001	401,8	3	93	N	248,2	3225,2	653176,46	6870095,57	0	3	93	N	650	3627	653552,97	6870234,42	0	2018	1	180631	
2018-01-01	A0001	820,5	3	93	N	650	3627	653552,97	6870234,42	0	4	93	N	460,5	4447,5	654322,46	6870520,65	0	2018	1	180631	
2018-01-01	A0001	229,5	4	93	N	460,5	4447,5	654322,46	6870520,65	0	4	93	N	690	4677	654547,05	6870570,75	0	2018	1	180631	
2018-01-01	A0001	210	4	93	N	690	4677	654547,05	6870570,75	0	4	93	N	900	4887	654756,08	6870595,85	0	2018	1	180631	
2018-01-01	A0001	2018	4	93	N	900	4887	654756,08	6870595,85	0	6	93	N	900	6905	656726,57	6870935	0	2018	1	123200	
2018-01-01	A0001	102	6	93	N	900	6905	656726,57	6870935	0	7	93	N	0	7007	656822,64	6870968,37	0	2018	1	179896	
2018-01-01	A0001	1700	7	93	N	0	7007	656822,64	6870968,37	0	8	93	N	700	8707	658431,5	6871533,03	0	2018	1	179896	
2018-01-01	A0001	2818	8	93	N	700	8707	658431,5	6871533,03	0	11	93	N	513	11525	660672,78	6873225,94	0	2018	1	185162	5
2018-01-01	A0001	678	11	93	N	513	11525	660672,78	6873225,94	0	12	93	N	200	12203	661187,1	6873671,24	0	2018	1	122500	
2018-01-01	A0001	1202	12	93	N	200	12203	661187,1	6873671,24	0	0	95	N	0	13405	662045,66	6874523,29	0	2018	1	122500	
